,"Minnie","Penny","Ash","Peep","Indy","Charlie","Studley","Honey","Taffy","Carrie","Chardonnay","Millie",,"expense","unit","Minnie AM","Minnie PM","Penny AM","Penny PM","Ash AM","Ash PM","Peep AM","Peep PM","Indy AM","Indy PM","Charlie AM","Charlie PM","Studley AM","Studley PM","Honey AM","Honey PM","Taffy AM","Taffy PM","Carrie AM","Carrie PM","Chardonnay AM","Chardonnay PM","Millie AM","Millie PM"
"cost/day",$3.17,$4.22,$4.14,$4.72,$6.69,$3.10,$4.35,$3.32,$4.72,$3.46,$3.17,$5.23,,"grass hay ","F",1.5,1.5,2,3,2,2,3,3,2,2,1.5,2,3,3,,,3,3,2,2,1.5,1.5,3,3
"cost/month",$88.65,$118.27,$115.89,$132.27,$187.42,$86.84,$121.84,$92.96,$132.27,$96.77,$88.65,$146.58,,"mare hay","F",,,,,,,,,,,,,,,2,2,,,,,,,,
"cost/year","$1,153.22","$1,538.57","$1,507.64","$1,720.69","$2,438.15","$1,129.72","$1,585.03","$1,209.29","$1,720.69","$1,258.86","$1,153.22","$1,906.82",,"JR","scoop",,0.75,,,,1,,,,,,,,,,,,,,,,0.75,,
,,,,,,,,,,,,,,12/12,"small scoop",,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
,,,,,,,,,,,,,,"AV","pump",,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
,,,,,,,,,,,,,,"Maintenance","scoop",,,,0.75,,,,0.75,,0.5,,0.5,,0.5,,0.25,,0.75,,0.25,,,,1
"hay/day",$1.50,$2.50,$2.00,$3.00,$2.00,$1.75,$3.00,$2.29,$3.00,$2.00,$1.50,$3.00,,"Previcox","tablet",,,,,,,,,,0.25,,,,,,,,,,,,,,
"JR/day",$1.09,$0.00,$1.56,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.09,$0.00,,"Farriers Form","cup",,,,,,,,,,1,,,,,,,,,,,,,,
"12/12/day",$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,$0.08,,"Corta Flx","oz",,,,,,,,,,,,1,,,,,,,,,,,,
"AV/day",$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,$0.07,,"Thyro_L","tiny scoop",,,,,,,,,,,,,,,,,,,,4,,,,
"Main/day",$0.00,$1.15,$0.00,$1.15,$0.78,$0.78,$0.78,$0.46,$1.15,$0.46,$0.00,$1.51,,"Mare Magic","small scoop",,,,,,,,,,,,,,,,,,,,1,,,,
"Previcox",$0.00,$0.00,$0.00,$0.00,$1.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,"Corn Oil","poor",,,,,,,,,,,,,,,,,,,,,,,,2
"Farriers/day",$0.00,$0.00,$0.00,$0.00,$2.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corta/day",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
